year,fossil_co2_emissions
1850,196.8475949
1851,198.7785467
1852,207.5950906
1853,217.2369679
1854,255.0385572
1855,260.2598512
1856,278.2456269
1857,281.1810482
1858,285.5483896
1859,302.5721755
1860,332.298456
1861,349.1901744
1862,355.9910778
1863,379.5348881
1864,409.525433
1865,434.8513295
1866,449.0670246
1867,480.8139084
1868,494.4935271
1869,524.7310619
1870,536.1232762
1871,569.7765867
1872,630.9614735
1873,670.467213
1874,628.6622351
1875,681.0479832
1876,690.5825235
1877,704.0328624
1878,709.6495492
1879,759.7943898
1880,858.0556736
1881,887.9649689
1882,937.8882211
1883,997.514559
1884,1009.429803
1885,1017.14455
1886,1032.613676
1887,1083.727515
1888,1200.80164
1889,1201.516232
1890,1306.591164
1891,1368.915607
1892,1379.808961
1893,1362.515016
1894,1411.532927
1895,1495.238838
1896,1544.660873
1897,1617.492798
1898,1705.960878
1899,1863.135385
1900,1961.49074
1901,2023.963811
1902,2074.800354
1903,2262.046168
1904,2287.50933
1905,2437.062082
1906,2544.485736
1907,2900.324676
1908,2785.686667
1909,2901.167235
1910,3043.3259
1911,3090.098124
1912,3246.477083
1913,3516.532973
1914,3189.786302
1915,3140.276533
1916,3391.973242
1917,3548.13832
1918,3499.686323
1919,3033.839374
1920,3537.837259
1921,3106.184128
1922,3254.462643
1923,3690.697713
1924,3702.777064
1925,3740.633513
1926,3677.407432
1927,4012.947385
1928,3996.31173
1929,4288.211409
1930,3958.095957
1931,3539.320339
1932,3192.591529
1933,3362.683413
1934,3656.187221
1935,3835.74255
1936,4207.930753
1937,4496.715384
1938,4229.619213
1939,4470.134676
1940,4884.663525
1941,4999.092726
1942,4982.524053
1943,5075.2732
1944,5162.486555
1945,4289.31269
1946,4608.546995
1947,5165.205488
1948,5447.884758
1949,5204.035324
1950,5930.24384
1951,6381.428815
1952,6467.460418
1953,6650.885226
1954,6789.529059
1955,7443.895798
1956,7926.012519
1957,8185.644782
1958,8417.187818
1959,8854.689147
1960,9387.010408
1961,9415.042136
1962,9747.287164
1963,10266.77221
1964,10824.4661
1965,11310.60044
1966,11862.64632
1967,12237.36928
1968,12905.28307
1969,13761.78529
1970,14899.12444
1971,15503.85472
1972,16224.59665
1973,17085.0929
1974,17011.07168
1975,17052.75263
1976,17989.11207
1977,18498.63422
1978,19069.29054
1979,19609.02029
1980,19488.52441
1981,19022.90478
1982,18871.09791
1983,18991.91043
1984,19647.80142
1985,20311.90163
1986,20614.96319
1987,21250.0746
1988,22085.13001
1989,22386.63747
1990,22728.9883
1991,23186.10144
1992,22528.17203
1993,22755.78698
1994,22992.9469
1995,23532.08301
1996,24258.16745
1997,24401.90571
1998,24303.77731
1999,24853.72768
2000,25510.5528
2001,25706.29345
2002,26276.86873
2003,27669.48979
2004,28632.50593
2005,29614.3941
2006,30628.3961
2007,31534.64403
2008,32074.19856
2009,31541.92194
2010,33355.90344
2011,34504.53812
2012,35000.02034
2013,35301.65584
2014,35450.09475
2015,35404.89697
2016,35416.65608
2017,35989.89788
2018,36730.42656
2019,37104.27786
2020,35126.52612
2021,36991.73628
2022,37293.83639
2023,37791.56871